0.3,0.4,0.5,0.6,0.7,0.8
-106,0.3264,1.595,0.3337,1.6413,0.3435,1.6875,0.3492,1.7337,0.3608,1.7799,0.49,1.9502
-105,0.299,1.6105,0.3056,1.6572,0.3147,1.7038,0.3198,1.7505,0.3305,1.7971,0.4479,1.9689
-104,0.2712,1.6251,0.2773,1.6721,0.2855,1.7192,0.2901,1.7663,0.2998,1.8134,0.4062,1.9865
-103,0.2432,1.6387,0.2486,1.6862,0.2559,1.7336,0.2601,1.7811,0.2688,1.8286,0.365,2.0029
-102,0.2149,1.6514,0.2197,1.6992,0.2262,1.747,0.2298,1.7949,0.2375,1.8427,0.3241,2.0182
-101,0.1863,1.6631,0.1905,1.7113,0.1961,1.7595,0.1993,1.8076,0.206,1.8558,0.2835,2.0323
-100,0.1576,1.6738,0.1612,1.7223,0.1659,1.7708,0.1686,1.8193,0.1743,1.8678,0.2431,2.0452
-99,0.1288,1.6836,0.1317,1.7324,0.1355,1.7812,0.1378,1.83,0.1424,1.8787,0.2029,2.0569
-98,0.0998,1.6924,0.102,1.7414,0.105,1.7905,0.1068,1.8395,0.1103,1.8885,0.163,2.0673
-97,0.0707,1.7002,0.0723,1.7494,0.0744,1.7987,0.0757,1.8479,0.0782,1.8972,0.1233,2.0765
-96,0.0416,1.7069,0.0426,1.7564,0.0438,1.8058,0.0446,1.8553,0.0461,1.9047,0.0839,2.0845
-95,0.0125,1.7126,0.0128,1.7623,0.0132,1.8119,0.0135,1.8615,0.0139,1.9111,0.0446,2.0911
-94,-0.0166,1.7173,-0.0169,1.7671,-0.0174,1.8169,-0.0176,1.8666,-0.0182,1.9164,0.0056,2.0965
-93,-0.0456,1.721,-0.0465,1.7709,-0.048,1.8207,-0.0486,1.8706,-0.0503,1.9204,-0.0331,2.1006
-92,-0.0745,1.7236,-0.0761,1.7735,-0.0784,1.8235,-0.0795,1.8734,-0.0822,1.9234,-0.0715,2.1034
-91,-0.1033,1.7252,-0.1055,1.7752,-0.1087,1.8252,-0.1103,1.8751,-0.114,1.9251,-0.1095,2.1049
-90,-0.1319,1.7257,-0.1347,1.7757,-0.1388,1.8257,-0.1409,1.8757,-0.1457,1.9257,-0.1473,2.1052
-89,-0.1604,1.7252,-0.1638,1.7752,-0.1687,1.8252,-0.1712,1.8751,-0.1771,1.9251,-0.1846,2.1041
-88,-0.1885,1.7236,-0.1926,1.7735,-0.1984,1.8235,-0.2014,1.8734,-0.2082,1.9234,-0.2216,2.1017
-87,-0.2165,1.721,-0.2211,1.7709,-0.2278,1.8207,-0.2312,1.8706,-0.2391,1.9204,-0.2581,2.098
-86,-0.2441,1.7173,-0.2494,1.7671,-0.2568,1.8169,-0.2607,1.8666,-0.2696,1.9164,-0.2941,2.093
-85,-0.2714,1.7126,-0.2772,1.7623,-0.2856,1.8119,-0.2899,1.8615,-0.2997,1.9111,-0.3296,2.0867
-84,-0.2983,1.7069,-0.3048,1.7564,-0.3139,1.8058,-0.3187,1.8553,-0.3295,1.9047,-0.3646,2.0791
-83,-0.3249,1.7002,-0.3319,1.7494,-0.3418,1.7987,-0.3471,1.8479,-0.3588,1.8972,-0.399,2.0703
-82,-0.351,1.6924,-0.3586,1.7414,-0.3693,1.7905,-0.375,1.8395,-0.3877,1.8885,-0.4329,2.0602
-81,-0.3766,1.6836,-0.3848,1.7324,-0.3964,1.7812,-0.4025,1.8299,-0.4161,1.8787,-0.4661,2.0488
-80,-0.4018,1.6738,-0.4106,1.7223,-0.4229,1.7708,-0.4294,1.8193,-0.4439,1.8678,-0.4986,2.0362
-79,-0.4265,1.6631,-0.4358,1.7113,-0.4489,1.7595,-0.4559,1.8076,-0.4712,1.8558,-0.5304,2.0224
-78,-0.4507,1.6514,-0.4606,1.6992,-0.4743,1.747,-0.4817,1.7949,-0.498,1.8427,-0.5615,2.0073
-77,-0.4743,1.6387,-0.4847,1.6862,-0.4992,1.7336,-0.507,1.7811,-0.5241,1.8286,-0.5919,1.991
-76,-0.4973,1.6251,-0.5082,1.6721,-0.5234,1.7192,-0.5317,1.7663,-0.5495,1.8134,-0.6215,1.9736
-75,-0.5198,1.6105,-0.5312,1.6572,-0.547,1.7038,-0.5557,1.7505,-0.5743,1.7971,-0.6503,1.955
-74,-0.5415,1.595,-0.5535,1.6412,-0.57,1.6875,-0.579,1.7337,-0.5984,1.7799,-0.6782,1.9352
-73,-0.5627,1.5787,-0.5751,1.6244,-0.5923,1.6702,-0.6017,1.7159,-0.6218,1.7616,-0.7053,1.9144
-72,-0.5832,1.5615,-0.596,1.6067,-0.6138,1.6519,-0.6236,1.6972,-0.6445,1.7424,-0.7314,1.8924
-71,-0.6029,1.5434,-0.6163,1.5881,-0.6346,1.6328,-0.6448,1.6775,-0.6664,1.7222,-0.7567,1.8693
-70,-0.622,1.5245,-0.6358,1.5687,-0.6547,1.6128,-0.6653,1.657,-0.6875,1.7011,-0.781,1.8453
-69,-0.6403,1.5048,-0.6545,1.5484,-0.6741,1.592,-0.6849,1.6356,-0.7078,1.6792,-0.8044,1.8201
-68,-0.6579,1.4844,-0.6725,1.5274,-0.6926,1.5703,-0.7038,1.6133,-0.7273,1.6563,-0.8268,1.794
-67,-0.6747,1.4632,-0.6897,1.5055,-0.7103,1.5479,-0.7219,1.5903,-0.7459,1.6326,-0.8482,1.767
-66,-0.6907,1.4412,-0.7062,1.4829,-0.7272,1.5247,-0.7391,1.5664,-0.7637,1.6081,-0.8685,1.739
-65,-0.706,1.4186,-0.7218,1.4596,-0.7433,1.5007,-0.7555,1.5418,-0.7806,1.5828,-0.8879,1.7101
-64,-0.7204,1.3952,-0.7365,1.4356,-0.7585,1.476,-0.771,1.5164,-0.7966,1.5568,-0.9061,1.6803
-63,-0.734,1.3713,-0.7505,1.411,-0.7728,1.4506,-0.7857,1.4903,-0.8117,1.53,-0.9553,1.6497
-62,-0.7468,1.3467,-0.7636,1.3857,-0.7863,1.4246,-0.7995,1.4636,-0.8258,1.5026,-0.9718,1.6183
-61,-0.7587,1.3215,-0.7758,1.3598,-0.7989,1.398,-0.8123,1.4362,-0.8391,1.48,-0.9872,1.5861
-60,-0.7697,1.2958,-0.7871,1.3333,-0.8106,1.3708,-0.8243,1.4083,-0.8514,1.47,-1.0015,1.5532
-59,-0.7799,1.2695,-0.7976,1.3063,-0.8213,1.343,-0.8353,1.3797,-0.8627,1.46,-1.0147,1.5196
-58,-0.7892,1.2428,-0.8071,1.2787,-0.8312,1.3147,-0.8454,1.3507,-0.8731,1.45,-1.0269,1.4853
-57,-0.7976,1.2156,-0.8158,1.2508,-0.8401,1.2859,-0.8545,1.3211,-0.8825,1.44,-1.0379,1.4504
-56,-0.8051,1.188,-0.8235,1.2223,-0.8481,1.2567,-0.8627,1.2911,-0.8909,1.43,-1.0478,1.4149
-55,-0.8118,1.1599,-0.8304,1.1935,-0.8551,1.227,-0.87,1.2606,-0.8983,1.42,-1.0565,1.3789
-54,-0.8175,1.1316,-0.8363,1.1643,-0.8612,1.197,-0.8762,1.2297,-0.9047,1.41,-1.0642,1.3423
-53,-0.8223,1.1029,-0.8413,1.1347,-0.8663,1.1666,-0.8816,1.1985,-0.9101,1.4,-1.0707,1.3053
-52,-0.8263,1.0739,-0.8453,1.1049,-0.8705,1.136,-0.8859,1.167,-0.9146,1.39,-1.0761,1.2679
-51,-0.8293,1.0446,-0.8485,1.0748,-0.8737,1.105,-0.8893,1.1352,-0.918,1.38,-1.0803,1.2301
-50,-0.8314,1.0152,-0.8507,1.0445,-0.876,1.0738,-0.8917,1.1032,-0.9204,1.37,-1.0834,1.1919
-49,-0.8326,0.9855,-0.852,1.014,-0.8773,1.0425,-0.8931,1.071,-0.9218,1.36,-1.0854,1.1534
-48,-0.8328,0.9557,-0.8523,0.9833,-0.8776,1.011,-0.8936,1.0386,-0.9222,1.35,-1.0863,1.1147
-47,-0.8322,0.9258,-0.8517,0.9526,-0.877,0.9793,-0.8931,1.0061,-0.9216,1.34,-1.086,1.0758
-46,-0.8307,0.8959,-0.8502,0.9217,-0.8755,0.9476,-0.8916,0.9735,-0.92,1.33,-1.0847,1.0366
-45,-0.8283,0.8658,-0.8478,0.8908,-0.873,0.9158,-0.8891,0.9408,-0.9174,1.32,-1.0822,0.9974
-44,-0.8249,0.8358,-0.8444,0.86,-0.8695,0.8841,-0.8857,0.9082,-0.9138,1.31,-1.0786,0.958
-43,-0.8207,0.8059,-0.8402,0.8291,-0.8651,0.8524,-0.8814,0.8756,-0.9093,1.3,-1.074,0.9186
-42,-0.8156,0.776,-0.835,0.7984,-0.8598,0.8207,-0.876,0.8431,-0.9037,1.29,-1.0682,0.8792
-41,-0.8096,0.7462,-0.8289,0.7677,-0.8536,0.7892,-0.8698,0.8107,-0.8972,1.28,-1.0614,0.8399
-40,-0.8028,0.7165,-0.822,0.7372,-0.8464,0.7579,-0.8626,0.7785,-0.8897,1.27,-1.0535,0.8006
-39,-0.7951,0.6871,-0.8141,0.7069,-0.8383,0.7267,-0.8545,0.7465,-0.8812,1.26,-1.0446,0.7615
