0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.8,0.85,0.9
-128,0.7002,1.055,0.703,1.055,0.728,1.086,0.726,1.099,0.729,1.117,0.749,1.148,0.757,1.179,0.745,1.21,0.848,1.223,0.898,1.241
-127,0.6888,1.0833,0.692,1.083,0.716,1.115,0.715,1.128,0.717,1.147,0.737,1.179,0.745,1.211,0.732,1.243,0.835,1.256,0.884,1.274
-126,0.6766,1.1113,0.68,1.111,0.703,1.144,0.702,1.157,0.704,1.177,0.724,1.21,0.731,1.242,0.719,1.275,0.821,1.288,0.87,1.307
-125,0.6636,1.139,0.667,1.139,0.69,1.173,0.688,1.186,0.69,1.206,0.71,1.24,0.717,1.273,0.704,1.307,0.806,1.32,0.854,1.34
-124,0.6497,1.1663,0.653,1.166,0.675,1.201,0.674,1.214,0.676,1.235,0.695,1.269,0.702,1.304,0.689,1.338,0.79,1.352,0.837,1.372
-123,0.6351,1.1932,0.638,1.193,0.66,1.228,0.659,1.242,0.66,1.264,0.679,1.299,0.685,1.334,0.673,1.369,0.772,1.383,0.819,1.404
-122,0.6197,1.2197,0.623,1.22,0.644,1.256,0.643,1.27,0.644,1.292,0.662,1.328,0.668,1.364,0.656,1.399,0.754,1.414,0.799,1.435
-121,0.6035,1.2458,0.606,1.246,0.627,1.282,0.626,1.297,0.627,1.319,0.645,1.356,0.651,1.393,0.638,1.43,0.735,1.444,0.779,1.466
-120,0.5866,1.2713,0.59,1.271,0.61,1.309,0.608,1.324,0.61,1.346,0.627,1.384,0.632,1.421,0.62,1.459,0.715,1.474,0.758,1.496
-119,0.569,1.2964,0.572,1.296,0.592,1.335,0.59,1.35,0.591,1.373,0.608,1.411,0.613,1.449,0.601,1.488,0.694,1.503,0.736,1.525
-118,0.5508,1.3209,0.554,1.321,0.573,1.36,0.571,1.375,0.572,1.399,0.588,1.438,0.593,1.477,0.581,1.516,0.672,1.531,0.713,1.554
-117,0.5319,1.3448,0.535,1.345,0.553,1.385,0.551,1.4,0.553,1.424,0.568,1.464,0.573,1.504,0.561,1.543,0.648,1.559,0.689,1.582
-116,0.5124,1.3681,0.515,1.368,0.533,1.409,0.531,1.425,0.532,1.449,0.547,1.489,0.552,1.53,0.54,1.57,0.625,1.586,0.664,1.61
-115,0.4923,1.3908,0.495,1.391,0.512,1.432,0.51,1.448,0.511,1.473,0.525,1.514,0.53,1.555,0.517,1.596,0.601,1.613,0.639,1.636
-114,0.4717,1.4128,0.474,1.413,0.491,1.455,0.489,1.471,0.49,1.496,0.502,1.538,0.506,1.58,0.495,1.621,0.576,1.638,0.612,1.662
-113,0.4505,1.4342,0.453,1.434,0.469,1.477,0.467,1.494,0.467,1.519,0.48,1.561,0.483,1.604,0.472,1.646,0.55,1.663,0.585,1.688
-112,0.4288,1.4548,0.431,1.455,0.445,1.498,0.444,1.515,0.444,1.541,0.457,1.584,0.46,1.627,0.449,1.67,0.524,1.687,0.557,1.712
-111,0.4057,1.4747,0.408,1.475,0.422,1.518,0.421,1.536,0.421,1.562,0.433,1.605,0.436,1.649,0.426,1.693,0.497,1.71,0.524,1.735
-110,0.3831,1.4938,0.385,1.494,0.399,1.538,0.397,1.556,0.398,1.582,0.409,1.626,0.412,1.671,0.402,1.715,0.47,1.732,0.495,1.758
-109,0.3601,1.5122,0.362,1.512,0.375,1.557,0.373,1.575,0.374,1.602,0.384,1.646,0.387,1.691,0.378,1.736,0.442,1.754,0.465,1.779
-108,0.3368,1.5297,0.339,1.53,0.351,1.575,0.349,1.593,0.35,1.62,0.359,1.665,0.362,1.711,0.353,1.756,0.414,1.774,0.434,1.8
-107,0.3131,1.5465,0.315,1.546,0.326,1.592,0.325,1.611,0.325,1.638,0.334,1.684,0.336,1.729,0.328,1.775,0.385,1.793,0.404,1.82
-106,0.2891,1.5623,0.291,1.562,0.301,1.609,0.3,1.627,0.3,1.655,0.308,1.701,0.311,1.747,0.303,1.793,0.355,1.812,0.373,1.838
-105,0.2648,1.5773,0.266,1.577,0.276,1.624,0.275,1.643,0.275,1.671,0.282,1.717,0.284,1.764,0.277,1.811,0.326,1.829,0.341,1.856
-104,0.2402,1.5915,0.241,1.591,0.25,1.639,0.249,1.657,0.249,1.686,0.256,1.733,0.258,1.78,0.252,1.827,0.296,1.846,0.309,1.873
